rebalance_date,fund_name,asset_family,portfolio_method,initial_establishment,one_way_turnover
2021-05-01,Cryptocurrency Equal Weight,Cryptocurrency only,Equal Weight,False,0.144162226528111
2021-06-01,Cryptocurrency Equal Weight,Cryptocurrency only,Equal Weight,False,0.16360572693964284
2021-07-01,Cryptocurrency Equal Weight,Cryptocurrency only,Equal Weight,False,0.049037319642105046
2021-08-01,Cryptocurrency Equal Weight,Cryptocurrency only,Equal Weight,False,0.03183434363540118
2021-09-01,Cryptocurrency Equal Weight,Cryptocurrency only,Equal Weight,False,0.07355296539279194
2021-10-01,Cryptocurrency Equal Weight,Cryptocurrency only,Equal Weight,False,0.04128786692208686
2021-11-01,Cryptocurrency Equal Weight,Cryptocurrency only,Equal Weight,False,0.045124259763769936
2021-12-01,Cryptocurrency Equal Weight,Cryptocurrency only,Equal Weight,False,0.03570105123091291
2022-01-01,Cryptocurrency Equal Weight,Cryptocurrency only,Equal Weight,False,0.02441094978075995
2022-02-01,Cryptocurrency Equal Weight,Cryptocurrency only,Equal Weight,False,0.02102647982226584
2022-03-01,Cryptocurrency Equal Weight,Cryptocurrency only,Equal Weight,False,0.04051822865186431
2022-04-01,Cryptocurrency Equal Weight,Cryptocurrency only,Equal Weight,False,0.04004075397274754
2022-05-01,Cryptocurrency Equal Weight,Cryptocurrency only,Equal Weight,False,0.04440722090590186
2022-06-01,Cryptocurrency Equal Weight,Cryptocurrency only,Equal Weight,False,0.07635119632023683
2022-07-01,Cryptocurrency Equal Weight,Cryptocurrency only,Equal Weight,False,0.062260904092131156
2022-08-01,Cryptocurrency Equal Weight,Cryptocurrency only,Equal Weight,False,0.10515057503004752
2022-09-01,Cryptocurrency Equal Weight,Cryptocurrency only,Equal Weight,False,0.021219935025505156
2022-10-01,Cryptocurrency Equal Weight,Cryptocurrency only,Equal Weight,False,0.057718278624622144
2022-11-01,Cryptocurrency Equal Weight,Cryptocurrency only,Equal Weight,False,0.030994651938395193
2022-12-01,Cryptocurrency Equal Weight,Cryptocurrency only,Equal Weight,False,0.06706297554845737
2023-01-01,Cryptocurrency Equal Weight,Cryptocurrency only,Equal Weight,False,0.03730462590512456
2023-02-01,Cryptocurrency Equal Weight,Cryptocurrency only,Equal Weight,False,0.034601917224557785
2023-03-01,Cryptocurrency Equal Weight,Cryptocurrency only,Equal Weight,False,0.02330339261562521
2023-04-01,Cryptocurrency Equal Weight,Cryptocurrency only,Equal Weight,False,0.0596507208568145
2023-05-01,Cryptocurrency Equal Weight,Cryptocurrency only,Equal Weight,False,0.031202949289222327
2023-06-01,Cryptocurrency Equal Weight,Cryptocurrency only,Equal Weight,False,0.030471567941276263
2023-07-01,Cryptocurrency Equal Weight,Cryptocurrency only,Equal Weight,False,0.12587665668300396
2023-08-01,Cryptocurrency Equal Weight,Cryptocurrency only,Equal Weight,False,0.0757542352719527
2023-09-01,Cryptocurrency Equal Weight,Cryptocurrency only,Equal Weight,False,0.0387549438622886
2023-10-01,Cryptocurrency Equal Weight,Cryptocurrency only,Equal Weight,False,0.021186353438420992
2023-11-01,Cryptocurrency Equal Weight,Cryptocurrency only,Equal Weight,False,0.024196764756997544
2023-12-01,Cryptocurrency Equal Weight,Cryptocurrency only,Equal Weight,False,0.03213161530738908
2021-01-01,Cryptocurrency Risk Parity,Cryptocurrency only,Risk Parity,True,0.0
2021-02-01,Cryptocurrency Risk Parity,Cryptocurrency only,Risk Parity,False,0.1582053682273591
2021-03-01,Cryptocurrency Risk Parity,Cryptocurrency only,Risk Parity,False,0.13700596163602688
2021-04-01,Cryptocurrency Risk Parity,Cryptocurrency only,Risk Parity,False,0.07879233161182009
2021-05-01,Cryptocurrency Risk Parity,Cryptocurrency only,Risk Parity,False,0.1568152145831099
2021-06-01,Cryptocurrency Risk Parity,Cryptocurrency only,Risk Parity,False,0.1800443769280619
2021-07-01,Cryptocurrency Risk Parity,Cryptocurrency only,Risk Parity,False,0.05410533403414147
2021-08-01,Cryptocurrency Risk Parity,Cryptocurrency only,Risk Parity,False,0.0390898493482848
2021-09-01,Cryptocurrency Risk Parity,Cryptocurrency only,Risk Parity,False,0.07446963667354427
2021-10-01,Cryptocurrency Risk Parity,Cryptocurrency only,Risk Parity,False,0.04596659624356248
2021-11-01,Cryptocurrency Risk Parity,Cryptocurrency only,Risk Parity,False,0.05059779832238125
2021-12-01,Cryptocurrency Risk Parity,Cryptocurrency only,Risk Parity,False,0.0408789078046502
2022-01-01,Cryptocurrency Risk Parity,Cryptocurrency only,Risk Parity,False,0.02326640661218391
2022-02-01,Cryptocurrency Risk Parity,Cryptocurrency only,Risk Parity,False,0.029224800981514636
2022-03-01,Cryptocurrency Risk Parity,Cryptocurrency only,Risk Parity,False,0.04272660886762113
2022-04-01,Cryptocurrency Risk Parity,Cryptocurrency only,Risk Parity,False,0.036101218143700264
2022-05-01,Cryptocurrency Risk Parity,Cryptocurrency only,Risk Parity,False,0.05104018707649008
2022-06-01,Cryptocurrency Risk Parity,Cryptocurrency only,Risk Parity,False,0.0932176893376333
2022-07-01,Cryptocurrency Risk Parity,Cryptocurrency only,Risk Parity,False,0.05741831892473917
2022-08-01,Cryptocurrency Risk Parity,Cryptocurrency only,Risk Parity,False,0.11250136160218055
2022-09-01,Cryptocurrency Risk Parity,Cryptocurrency only,Risk Parity,False,0.026070336501068173
2022-10-01,Cryptocurrency Risk Parity,Cryptocurrency only,Risk Parity,False,0.060681269700575476
2022-11-01,Cryptocurrency Risk Parity,Cryptocurrency only,Risk Parity,False,0.02835255682457828
2022-12-01,Cryptocurrency Risk Parity,Cryptocurrency only,Risk Parity,False,0.061702450736175016
2023-01-01,Cryptocurrency Risk Parity,Cryptocurrency only,Risk Parity,False,0.03710022471153629
2023-02-01,Cryptocurrency Risk Parity,Cryptocurrency only,Risk Parity,False,0.03933531498985968
2023-03-01,Cryptocurrency Risk Parity,Cryptocurrency only,Risk Parity,False,0.027890057736280893
2023-04-01,Cryptocurrency Risk Parity,Cryptocurrency only,Risk Parity,False,0.06083306123983752
2023-05-01,Cryptocurrency Risk Parity,Cryptocurrency only,Risk Parity,False,0.03404566253541975
2023-06-01,Cryptocurrency Risk Parity,Cryptocurrency only,Risk Parity,False,0.023908019551429495
2023-07-01,Cryptocurrency Risk Parity,Cryptocurrency only,Risk Parity,False,0.1364816452365113
2023-08-01,Cryptocurrency Risk Parity,Cryptocurrency only,Risk Parity,False,0.12463089264353905
2023-09-01,Cryptocurrency Risk Parity,Cryptocurrency only,Risk Parity,False,0.03717165541700241
2023-10-01,Cryptocurrency Risk Parity,Cryptocurrency only,Risk Parity,False,0.030773704517820057
2023-11-01,Cryptocurrency Risk Parity,Cryptocurrency only,Risk Parity,False,0.026716406221977844
