date,fund_name,asset_family,portfolio_method,daily_return,growth_of_1,drawdown,active_target_rebalance_date
2021-11-29,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.007906587957739786,1.3265165352228325,-0.02810927608410918,2021-11-01
2021-11-30,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.0215176050963211,1.2979730762641675,-0.04902203687810902,2021-11-01
2021-12-01,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.011542629798544429,1.2829910535563722,-0.059998823452998895,2021-12-01
2021-12-02,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.018945077094651364,1.3072974179777457,-0.042190428694252935,2021-12-01
2021-12-03,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.0003240505494568657,1.3068737875311465,-0.0425008074121096,2021-12-01
2021-12-06,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.014122218445184366,1.3253297446389467,-0.028978794653295892,2021-12-01
2021-12-07,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.010979735756097724,1.3398815150247787,-0.01831723840502164,2021-12-01
2021-12-08,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.001278377328884967,1.3415943891769784,-0.017062277418441463,2021-12-01
2021-12-09,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.00783885363099054,1.3310778271280619,-0.024767382354137446,2021-12-01
2021-12-10,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.00453520634039808,1.3371145397292163,-0.02034450120322695,2021-12-01
2021-12-13,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.0034492255089265374,1.3325025301504256,-0.023723553939636988,2021-12-01
2021-12-14,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.0020867978803640365,1.329721866694928,-0.025760845557925127,2021-12-01
2021-12-15,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.011143406758145888,1.3445394983307106,-0.014904502380264972,2021-12-01
2021-12-16,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.005341281593939668,1.3517210624054694,-0.009642829930555763,2021-12-01
2021-12-17,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.011876854530744684,1.3356668679811359,-0.021405157972950617,2021-12-01
2021-12-20,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.00442992736767537,1.329749960768569,-0.025740262045512163,2021-12-01
2021-12-21,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.010045982784736738,1.3431086059824544,-0.015952865490159285,2021-12-01
2021-12-22,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.0058415654141009896,1.350954462762543,-0.010204489783361415,2021-12-01
2021-12-23,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.00532771986559204,1.3581519696913134,-0.004931136580706208,2021-12-01
2021-12-27,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.011532231724731553,1.3738144929231941,0.0,2021-12-01
2021-12-28,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.0006153753928346325,1.3746599045564587,0.0,2021-12-01
2021-12-29,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.000644143265730569,1.3755453824766484,0.0,2021-12-01
